商品名称,商品分类,商品品牌,cluster_similarity
阿迪达斯三叶草 男田径运动休闲立领夹克外套3D TF 3 STRP GN3535,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
「波波鞋」阿迪达斯官方男女款复古休闲老爹鞋 OZWAVE 2.0 JI1587,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 街球鞋男女经典boost运动鞋STREETBALL II GX0783,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「恐惧鲨鱼」阿迪达斯三叶草 男女复古运动老爹鞋PROPHERE JI0430,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女情侣款复古风运动立领夹克外套 adidas JI7533,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
「恐惧鲨鱼」阿迪达斯三叶草男女款运动鞋adidas PROPHERE ID0542,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,5
阿迪达斯三叶草 男女款街头风经典运动鞋 adidas PROPHERE FZ0039,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「寻光者」阿迪达斯男女款SPIRITAIN 2.0网面运动鞋adidas IH0274,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「恐惧鲨鱼」阿迪达斯三叶草 男女复古运动老爹鞋PROPHERE JI0425,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方 男女款百搭休闲运动鞋 adidas ENTRAP GW9675,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方男女运动板鞋少年感复古篮球鞋adidas ENTRAP JS3007,运动户外-运动鞋-篮球鞋,adidas/阿迪达斯,0
「街球鞋」阿迪达斯三叶草男女款经典运动鞋STREETBALL II JI2557,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女情侣款复古风运动立领夹克外套 adidas JI7535,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
「波波鞋」阿迪达斯官方男女款复古休闲老爹鞋 OZWAVE 2.0 JI1588,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男田径运动休闲立领夹克外套3D TF 3 STRP GN3536,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
阿迪达斯三叶草男女情侣款复古风运动立领夹克外套 adidas JI7534,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
「恐惧鲨鱼」阿迪达斯三叶草 男女复古运动老爹鞋PROPHERE JI0429,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「泡泡鞋」阿迪达斯三叶草 男女经典运动鞋adidas HI-TAIL ID1129,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「奶包鞋2.0」阿迪达斯三叶草 男女经典运动鞋NITEBALL II JI2558,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
【阿迪达斯专属】「波波鞋」阿迪达斯官方男女款厚底休闲老爹鞋 OZWAVE 2.0 JI1586,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男款经典运动「奶包鞋2.0」NITEBALL II GZ3628,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「恐惧鲨鱼」阿迪达斯三叶草 男女款经典老爹鞋 PROPHERE ID0545,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「奶包鞋2.0」阿迪达斯三叶草 雅丹风男女运动鞋NITEBALL II JI2545,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「恐惧鲨鱼」阿迪达斯三叶草 男女款经典老爹鞋 PROPHERE ID0544,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「波波鞋」阿迪达斯官方男女厚底休闲老爹鞋adidas OZWAVE IE6059,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草男女款经典运动鞋adidas EQT BASK ADV JI4274,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「波波鞋」阿迪达斯官方男女厚底休闲老爹鞋adidas OZWAVE IE6055,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「泡泡鞋阿迪达斯三叶草 男女款经典运动鞋adidas HI-TAIL JH7360,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草 男女款经典复古老爹鞋 OZWEEGO CELOX IF9365,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「泡泡鞋」阿迪达斯官方三叶草男女经典运动鞋HI-TAIL 2.0 JI4346,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女经典运动鞋「奶包鞋」adidas NITEBALL IE6818,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草 男女经典运动鞋 adidas EQT BASK ADV JI4272,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草男女经典运动复古老爹鞋OZWEEGO CELOX IF9366,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「恐惧鲨鱼」阿迪达斯三叶草 男女款经典老爹鞋 PROPHERE IH2212,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款复古风经典中帮运动鞋EQT BASK ADV ID0546,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「泡泡鞋」阿迪达斯官方三叶草男女经典运动鞋HI-TAIL 2.0 JR2704,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款复古风经典中帮运动鞋EQT BASK ADV ID0548,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女经典「街球鞋」adidas STREETBALL II GX0778,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款经典运动「奶包鞋2.0」NITEBALL II GX7088,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「恐惧鲨鱼」阿迪达斯三叶草 男女复古运动老爹鞋PROPHERE JI0428,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男薄款运动复古拼接保暖棉服 BOLD JACKET HE6610,运动户外-运动服/休闲服装-运动棉衣,adidas/阿迪达斯,1
阿迪达斯三叶草 男女款经典运动「奶包鞋2.0」NITEBALL II GX7087,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方 轻运动女款休闲跑步运动鞋 adidas OZELLE GX1727,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男舒适百搭潮运动复古老爹鞋adidas OZELIA GY9977,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「泡泡鞋」阿迪达斯三叶草 男女经典运动鞋adidas HI-TAIL JH7361,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女经典运动鞋「奶包鞋」adidas NITEBALL FZ5741,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「增嗨鞋」阿迪达斯三叶草男女款复古老爹鞋adidas HAIWEE ID0551,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「奶包鞋」阿迪达斯官方三叶草 男女款经典运动鞋NITEBALL ID1119,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草男女复古经典运动老爹鞋adidas OZELIA JI2789,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男款圆领运动短袖T恤adidas LT TEE SS M 2 IK8682,运动户外-运动服/休闲服装-运动T恤,adidas/阿迪达斯,1
阿迪达斯三叶草 男女款复古风经典中帮运动鞋EQT BASK ADV ID0547,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男款休闲运动连帽夹克外套 adidas TS WB HF5946,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
阿迪达斯三叶草男款圆领运动短袖T恤adidas LT TEE SS M 2 IK8683,运动户外-运动服/休闲服装-运动T恤,adidas/阿迪达斯,1
「奶包鞋」阿迪达斯官方三叶草 男女款经典运动鞋NITEBALL ID1121,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款经典运动鞋 adidas  DROP STEP XL FW2040,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「泡泡鞋」阿迪达斯三叶草 男女休闲跑步鞋adidas HI-TAIL ID0537,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「恐惧鲨鱼」阿迪达斯三叶草 男女复古运动老爹鞋PROPHERE JI0426,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「奶包鞋2.0」阿迪达斯三叶草 男女经典运动鞋NITEBALL II FZ5799,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「街球鞋」阿迪达斯三叶草男女款经典运动鞋STREETBALL II JI2544,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款经典运动鞋「奶包鞋」NITEBALL II FZ5800,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款运动休闲跑步鞋「泡泡鞋」HI-TAIL H05767,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「泡泡鞋」阿迪达斯三叶草 男女经典运动鞋adidas HI-TAIL ID1127,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女款休闲板鞋篮球鞋adidas DROP STEP XL GW6189,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草 男女款经典boost运动鞋adidas NMD_S1 HQ4439,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「恐惧鲨鱼」阿迪达斯三叶草 男女复古运动老爹鞋PROPHERE JI0427,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男复古拼接宽松运动夹克adidas BLD CB TT HC4499,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,1
「泡泡鞋」阿迪达斯三叶草 男女经典运动鞋adidas HI-TAIL JH7363,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方男款运动板鞋少年感复古篮球鞋adidas ENTRAP JQ5047,运动户外-运动鞋-篮球鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男女心动白板鞋运动鞋小白鞋NY 90 STRIPES H04429,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「奶包鞋」阿迪达斯三叶草 雅丹风男女经典运动鞋NITEBALL ID1118,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草男女经典运动复古老爹鞋adidas OZELIA ID1122,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女情侣款bf风纯棉运动上衣圆领短袖T恤 HC3076,运动户外-运动服/休闲服装-运动T恤,adidas/阿迪达斯,1
阿迪达斯官方 男款休闲干练摩登篮球风运动鞋 ENTRAP FZ1119,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款NMD_S1舒适经典boost运动鞋 adidas HQ4435,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款潮流百搭休闲复古老爹鞋 OZWEEGO GZ5231,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草 女新款经典运动板鞋 adidas EXTABALL ID6072,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款经典运动鞋adidas EQT BASK ADV V2 ID4073,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「波波鞋」阿迪达斯官方男女厚底休闲老爹鞋adidas OZWAVE IE6056,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「泡泡鞋」阿迪达斯官方三叶草男女经典运动鞋HI-TAIL 2.0 JI4348,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「波波鞋」阿迪达斯官方男女厚底休闲老爹鞋adidas OZWAVE ID3575,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草 男女款经典运动鞋adidas HI-TAIL 2.0 JI4349,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「寻光者」阿迪达斯官方 男女款网面运动鞋 SPIRITAIN 2.0 JH8025,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款复古经典运动老爹鞋 adidas OZELIA JH7364,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
「奶包鞋」阿迪达斯三叶草男女休闲运动鞋adidas NITEBALL ID4087,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男居家运动拼接短裤adidas Tricolor Short H09358,运动户外-运动服/休闲服装-运动裤-运动中长裤／短裤,adidas/阿迪达斯,1
「恐惧鲨鱼」阿迪达斯三叶草 男女款经典老爹鞋 PROPHERE ID0543,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方三叶草男女休闲篮球运动板鞋adidas EXTABALL ID1133,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草男居家运动拼接短裤adidas Tricolor Short H09357,运动户外-运动服/休闲服装-运动裤-运动中长裤／短裤,adidas/阿迪达斯,1
阿迪达斯三叶草 男款保暖鸭绒羽绒服 adidas SPORTY DOWN HS9467,运动户外-运动服/休闲服装-运动羽绒服,adidas/阿迪达斯,1
阿迪达斯三叶草男女经典运动鞋「奶包鞋」adidas NITEBALL ID4088,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯官方 轻运动男款休闲跑步运动鞋 adidas OZELLE GX6762,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
阿迪达斯三叶草 男女款复古经典运动老爹鞋 adidas OZELIA JH7366,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,0
